id,level,parent,slug,title,url,type,phase,nav_order,segment,intent,message,goal,primary_cta,primary_cta_link,secondary_cta,secondary_cta_link,related,documents,seo,compliance,kpi,classification,eyebrow
12,2,za-kompanije,priprema-za-trziste-kapitala,Priprema za tržište kapitala,/za-kompanije/priprema-za-trziste-kapitala/,Uslužna,1,,F,Šta nam nedostaje,Pripremite kompaniju za izlazak na tržište kapitala,"Emisija počinje mnogo prije njenog formalnog pokretanja. Pomažemo kompanijama da unaprijed urede ključne finansijske, organizacione i dokumentacione pretpostavke za buduće finansiranje putem tržišta kapitala.",Zatražite procjenu,procjena-spremnosti,,,"procjena-spremnosti,emisija-obveznica",,7,Pomoćni poslovi u okviru dozvole,Upiti; prilike u registru,A,
13,2,za-kompanije,procjena-spremnosti,Procjena spremnosti za emisiju,/za-kompanije/procjena-spremnosti/,Konverzioni alat,1,,F,Da li smo uopšte kandidat,Da li je vaša kompanija spremna za emisiju?,Odgovorite na nekoliko ključnih pitanja i dobijte početnu procjenu spremnosti vaše kompanije za finansiranje putem emisije hartija od vrijednosti.,Pošaljite rezultat i zakažite razgovor,kontakt,Preuzmite rezultat,,"emisija-obveznica,priprema-za-trziste-kapitala",PDF sa rezultatom,,"Rezultat je opšta orijentaciona procjena, ne savjet",Započeti i završeni upitnici,A,
14,1,,institucionalni-klijenti,Institucionalni klijenti,/institucionalni-klijenti/,Hub segmenta,1,3,G,Postoji li program za institucije,Program prilagođen institucionalnim klijentima,"Jasno definisane usluge, odgovornost i podrška za institucionalne klijente",Zatražite formalnu ponudu,kontakt,Zakažite razgovor,kontakt,"institucionalni-program,blok-transakcije",,8,Bez objavljenih rokova dok nisu izvodljivi,Zahtjevi za ponudu,A (uslovno),Institucionalni klijenti
15,2,institucionalni-klijenti,institucionalni-program,Institucionalni program,/institucionalni-klijenti/institucionalni-program/,Uslužna,1,,G,Kakav nivo usluge dobijam,Brokerska podrška prilagođena institucionalnim zahtjevima,"Institucionalni program Eurobrokera objedinjuje pristup tržištima, izvršenje naloga i direktnu stručnu podršku kroz jasno definisan model saradnje prilagođen potrebama profesionalnih i institucionalnih klijenata.",Zatražite formalnu ponudu,kontakt,,,blok-transakcije,,8,Rokovi se objavljuju tek kada su operativno izvodljivi,Zahtjevi za ponudu,A (uslovno),
16,2,institucionalni-klijenti,blok-transakcije,Blok-transakcije,/institucionalni-klijenti/blok-transakcije/,Uslužna,1,,G,Kako izvršiti veliki nalog,Veliki nalozi zahtijevaju pažljivo izvršenje,"Kod transakcija većeg obima važni su likvidnost, tržišni uslovi i način izvršenja. Eurobroker pruža brokersku podršku institucionalnim klijentima u realizaciji blok-transakcija i drugih naloga većeg obima, u skladu sa pravilima tržišta.",Zatražite razgovor,kontakt,,,institucionalni-program,,8,Samo u okviru postojeće dozvole,Upiti,A,
17,1,,analize,Analize i tržišta,/analize/,Hub sadržaja,1,4,"B,D,G",Šta se dešava na tržištu,Analize za bolje razumijevanje tržišta,Pratimo ključna kretanja i izdvajamo informacije važne investitorima.,Prijava na mjesečni pregled,kontakt,,,"svjetska-trzista,edukacija",,,Opšti tržišni pregled; ne predstavlja individualnu preporuku,Prijave; posjete,A,
18,1,,edukacija,Edukacija — Centar znanja,/edukacija/,Hub sadržaja,1,5,"A,B",Kako da počnem,Znanje za bolje investicione odluke,"Vodiči, edukativni sadržaji i webinari koji vam pomažu da razumijete tržišta, mogućnosti i rizike.",Prijava na webinar,kontakt,,,"obveznice-rs,analize",,1-10,Razgraničenje edukacije od investicione preporuke,Prijave na webinar; preuzimanja,A,
19,1,,o-nama,O nama,/o-nama/,Hub,1,6,"D,F,G",Ko stoji iza sajta,Iskustvo na tržištu. Povjerenje koje se gradi.,Eurobroker povezuje dugogodišnje iskustvo na tržištu kapitala sa profesionalnim i odgovornim odnosom prema svakom klijentu.,Otvorite račun,otvorite-racun,Kontakt,kontakt,"regulatorni-status,cjenovnik",,,Identifikacioni podaci i nadzorni organ,Posjete reputacionih stranica,A,
20,2,o-nama,regulatorni-status,Regulatorni status i dozvole,/o-nama/regulatorni-status/,Regulatorna,1,,"F,G",Pod čijim nadzorom posluje,Dozvole i nadzorni organ na jednom mjestu,Reputacija i institucionalno povjerenje,Kontakt,kontakt,,,"o-nama,dokumenti",,,Sadržaj potvrđuje funkcija usklađenosti prije objave,Posjete institucionalnih segmenata,A,
21,,,cjenovnik,Cjenovnik,/cjenovnik/,Regulatorna / konverziona,1,,"A,B,F,G",Koliko košta,Cjenovnik je javno objavljen i primjenjuje se od datuma primjene,Transparentnost cijene kao trust signal,Otvorite račun,otvorite-racun,Kontakt,kontakt,dokumenti,,,Objavljuje se tek po usvajanju; svaka stavka ima datum primjene,Klikovi sa uslužnih stranica,A,
22,1,,otvorite-racun,Otvorite račun,/otvorite-racun/,Konverziona,1,,"A,B",Kako da počnem,Tri koraka do aktivnog računa,Primarna konverzija,Pošaljite zahtjev,kontakt,,,"kontakt,dokumenti",Lista dokumenata; obrazac,,Obavezno evidentiranje izvora akvizicije,Popunjeni obrasci,A,
23,1,,kontakt,Kontakt,/kontakt/,Konverziona,1,,svi,Kako da vas dobijem,Razgovarajte direktno sa našim timom,"Bilo da želite da otvorite račun, investirate na domaćem ili stranom tržištu ili saznate više o našim uslugama, javite nam se. Povezaćemo vas sa pravom osobom iz našeg tima.",Pošaljite poruku,,,,otvorite-racun,,,Ugovoreni rok odziva: jedan radni dan,Poslati obrasci,A,
24,1,,partneri,Partnerstva i saradnja,/partneri/,Uslužna,1,,H,Kako da sarađujemo,Zajedno otvaramo nove mogućnosti klijentima,Povezujemo stručnost naših partnera sa uslugama Eurobrokera kako bi investitori i kompanije dobili odgovarajuću podršku na tržištu kapitala.,Zakažite razgovor,kontakt,,,"za-kompanije,institucionalni-klijenti,o-nama",,,Bez objave povjerljivih grupnih aranžmana,Upiti sa partnerske stranice,A,Partnerstva i saradnja
25,1,,dokumenti,Dokumenti i obrasci,/dokumenti/,Hub dokumenata,1,,svi,Gdje su obrasci i pravila,Svi dokumenti na jednom mjestu,"Podrška klijentima, od otvaranje računa do trgovanja",Kontakt,kontakt,,,cjenovnik,,,Svaki dokument ima verziju i datum,Preuzimanja,A,
25,2,za-kompanije,prikupljanje-kapitala,Prikupljanje kapitala,/za-kompanije/prikupljanje-kapitala/,Uslužna,1,,F,Kako da pribavim kapital za kompaniju,Kapital ne mora doći samo iz kredita,Istražite mogućnosti finansiranja putem tržišta kapitala i pronađite model koji odgovara potrebama i planovima vaše kompanije.,Zakažite razgovor,kontakt,,,"finansiranje-putem-trzista-kapitala,emisija-obveznica,emisija-akcija-i-dokapitalizacija",,,,,A,Prikupljanje kapitala
26,2,za-kompanije,poslovno-i-finansijsko-savjetovanje,Poslovno i finansijsko savjetovanje,/za-kompanije/poslovno-i-finansijsko-savjetovanje/,Uslužna,1,,F,Kako da donesem važnu finansijsku odluku,Stručna podrška za važne poslovne odluke,Pomažemo vam da sagledate finansijske i poslovne mogućnosti i donesete odluke usklađene sa ciljevima vaše kompanije.,Zakažite razgovor,kontakt,,,"prikupljanje-kapitala,finansiranje-putem-trzista-kapitala,priprema-za-trziste-kapitala",,,,,A,Poslovno i finansijsko savjetovanje
27,2,za-kompanije,korporativni-poslovi,Korporativni poslovi,/za-kompanije/korporativni-poslovi/,Uslužna,1,,F,Kako da sprovedem korporativnu promjenu,"Složene promjene, jasno definisan proces","Od preoblikovanja društva do složenijih korporativnih postupaka, pomažemo vam da promjene pripremite i sprovedete efikasno i u skladu sa propisima.",Zakažite razgovor,kontakt,,,"priprema-za-trziste-kapitala,poslovno-i-finansijsko-savjetovanje,prikupljanje-kapitala",,,,,A,Korporativni poslovi
28,2,za-kompanije,analize-i-poslovni-planovi,Analize i poslovni planovi,/za-kompanije/analize-i-poslovni-planovi/,Uslužna,1,,F,Kakva mi analiza treba za odluku,Dobre odluke traže kvalitetnu analizu,"Pretvaramo podatke i informacije u jasnu osnovu za procjenu investicija, poslovnih mogućnosti i budućih poteza.",Zakažite razgovor,kontakt,,,"poslovno-i-finansijsko-savjetovanje,korporativni-poslovi,prikupljanje-kapitala",,,Razgraničenje opšte analize/researcha od individualnog investicionog savjetovanja,,A,Analize i poslovni planovi
